School Name,Department Name,URL,Duration_Study_list
Erasmus Universitiet Rotterdam,International Full-time MBA,https://www.eur.nl/en/post-master/international-full-time-mba,1 year
Erasmus Universitiet Rotterdam,European Master in Law and Economics,https://www.eur.nl/en/post-master/european-master-law-and-economics,1 year
Erasmus Universitiet Rotterdam,Maritime Economics and Logistics,https://www.eur.nl/en/post-master/maritime-economics-and-logistics,1 year
Erasmus Universitiet Rotterdam,Health Sciences,https://www.eur.nl/en/post-master/health-sciences,12 months
Erasmus Universitiet Rotterdam,Epidemiology,https://www.eur.nl/en/post-master/epidemiology,0 years
Erasmus Universitiet Rotterdam,Clinical Epidemiology,https://www.eur.nl/en/post-master/clinical-epidemiology,0 years
Erasmus Universitiet Rotterdam,Genetic Epidemiology,https://www.eur.nl/en/post-master/genetic-epidemiology,0 years
Erasmus Universitiet Rotterdam,Pharmaco-epidemiology,https://www.eur.nl/en/post-master/pharmaco-epidemiology,0 years
Erasmus Universitiet Rotterdam,Public Health,https://www.eur.nl/en/post-master/public-health,0 years
Erasmus Universitiet Rotterdam,"Accounting, Auditing and Control",https://www.eur.nl/en/master/accounting-auditing-and-control,1 year
Erasmus Universitiet Rotterdam,Aansprakelijkheid en Verzekering,https://www.eur.nl/master/aansprakelijkheid-en-verzekering,1 year
Erasmus Universitiet Rotterdam,Arbeidsrecht,https://www.eur.nl/master/arbeidsrecht,1 year
Erasmus Universitiet Rotterdam,Recht van de Gezondheidszorg,https://www.eur.nl/master/recht-van-de-gezondheidszorg,1 year
Erasmus Universitiet Rotterdam,Dubbele master Toga aan de Maas,https://www.eur.nl/master/dubbele-master-toga-aan-de-maas,18 months
Erasmus Universitiet Rotterdam,Business Information Management,https://www.eur.nl/en/master/business-information-management,1 year
Erasmus Universitiet Rotterdam,Strategic Entrepreneurship,https://www.eur.nl/en/master/strategic-entrepreneurship,1 year
Erasmus Universitiet Rotterdam,Global Business & Sustainability,https://www.eur.nl/en/master/global-business-sustainability,1 year
Erasmus Universitiet Rotterdam,"People, Organisations & Change",https://www.eur.nl/en/master/people-organisations-change,1 year
Erasmus Universitiet Rotterdam,Management of Innovation,https://www.eur.nl/en/master/management-innovation,1 year
Erasmus Universitiet Rotterdam,Marketing Management,https://www.eur.nl/en/master/marketing-management,1 year
Erasmus Universitiet Rotterdam,Strategic Management,https://www.eur.nl/en/master/strategic-management,1 year
Erasmus Universitiet Rotterdam,International Public Management and Public Policy,https://www.eur.nl/en/master/international-public-management-and-public-policy,1 year
Erasmus Universitiet Rotterdam,Geneeskunde,https://www.eur.nl/master/geneeskunde,3 years
Erasmus Universitiet Rotterdam,International Bachelor Econometrics and Operations Research,https://www.eur.nl/en/bachelor/international-bachelor-econometrics-and-operations-research,3 years
Erasmus Universitiet Rotterdam,Infection and Immunity,https://www.eur.nl/en/research-master/infection-and-immunity,2 years
Erasmus Universitiet Rotterdam,Corporate Communication,https://www.eur.nl/en/post-master/corporate-communication,18 months
Erasmus Universitiet Rotterdam,International Business Law,https://www.eur.nl/en/master/international-business-law,1 year
Erasmus Universitiet Rotterdam,Commercieel Privaatrecht,https://www.eur.nl/post-master/commercieel-privaatrecht,18 months
Erasmus Universitiet Rotterdam,Maritime & Transport Law,https://www.eur.nl/en/master/maritime-transport-law,1 year
Erasmus Universitiet Rotterdam,Commercial and Company Law,https://www.eur.nl/en/master/commercial-and-company-law,1 year
Erasmus Universitiet Rotterdam,Filosofie - deeltijd,https://www.eur.nl/bachelor/filosofie-deeltijd,6 years
Erasmus Universitiet Rotterdam,Rechtsgeleerdheid (deeltijd),https://www.eur.nl/bachelor/rechtsgeleerdheid-deeltijd,3 years
