School Name,Department Name,URL,Degree,Description
Bath Spa University,Creative Music Technology (Games and Interactive Media),https://www.bathspa.ac.uk/courses/ug-cmt-games-and-interactive-media/,Level: Undergraduate,"Innovate and thrive as a sound designer, composer or audio professional for games and interactive media."
Bath Spa University,Creative Writing,https://www.bathspa.ac.uk/courses/ug-creative-writing/,Level: Undergraduate,"Join our vibrant creative writing community, supported by award-winning authors and creative practitioners."
Bath Spa University,Creative Writing,https://www.bathspa.ac.uk/courses/pg-creative-writing/,Level: Postgraduate,"A creative writing MA designed to help you write a novel, collection of poems, collection of stories or work of non-fiction."
Bath Spa University,Creative Writing and Drama,https://www.bathspa.ac.uk/courses/ug-creative-writing-and-drama/,Level: Undergraduate,"Explore your creativity through writing, producing performing and collaborating with our Creative Writing and Drama degree."
Bath Spa University,Creative Writing and English Literature,https://www.bathspa.ac.uk/courses/ug-creative-writing-and-english-literature/,Level: Undergraduate,Combine a love for writing with a passion for language and develop professional skills with our Creative Writing and English Literature degree.
Bath Spa University,Creative Writing and Film and Screen Studies,https://www.bathspa.ac.uk/courses/ug-creative-writing-and-film-and-screen-studies/,Level: Undergraduate,Develop employable skills in the creative industries with our Creative Writing and Film and Screen Studies degree.
Bath Spa University,Creative Writing and Philosophy and Ethics,https://www.bathspa.ac.uk/courses/ug-creative-writing-and-philosophy-and-ethics/,Level: Undergraduate,Combine creativity with an in-depth exploration of ideas with our Creative Writing and Philosophy and Ethics degree.
Bath Spa University,Creative Writing and Publishing,https://www.bathspa.ac.uk/courses/ug-creative-writing-and-publishing/,Level: Undergraduate,Develop your storytelling and practical skills for a career in digital or print media with our Creative Writing and Publishing degree.
Bath Spa University,Creative Writing PhD,https://www.bathspa.ac.uk/courses/phd-creative-writing/,Level: Research Degree,Our creative writing PhD has a reputation as one of the country’s leading doctoral programmes.
Bath Spa University,Criminology,https://www.bathspa.ac.uk/courses/ug-criminology/,Level: Undergraduate,"Investigate, scrutinise and understand the causes and consequences of crime."
Bath Spa University,Criminology and Law,https://www.bathspa.ac.uk/courses/ug-criminology-and-law/,Level: Undergraduate,"Develop an in-depth understanding of crime, justice and the legal system with our combined Criminology and Law degree."
Bath Spa University,Criminology and Politics,https://www.bathspa.ac.uk/courses/ug-criminology-and-politics/,Level: Undergraduate,Study crime from a variety of approaches alongside specialist subject knowledge from our innovative Politics course.
Bath Spa University,Criminology and Psychology,https://www.bathspa.ac.uk/courses/ug-criminology-and-psychology/,Level: Undergraduate,Study the links between the mind and criminal behaviour with our Criminology and Psychology degree.
Bath Spa University,Criminology and Sociology,https://www.bathspa.ac.uk/courses/ug-criminology-and-sociology/,Level: Undergraduate,"Broaden your skills and expertise around crime, justice and the laws that shape our society with our Criminology and Sociology degree."
Bath Spa University,Cyber Security,https://www.bathspa.ac.uk/courses/ug-cyber-security/,Level: Undergraduate,"Interrogate the fascinating, dynamic world of cyber security in this applied course."
Bath Spa University,Cyber Security,https://www.bathspa.ac.uk/courses/pg-cyber-security/,Level: Postgraduate,Learn how to make operational level decisions on cyber security that protect modern businesses.
Bath Spa University,Cybersecurity and Emerging Technologies,https://www.bathspa.ac.uk/courses/pg-cybersecurity-and-emerging-technologies/,Level: Postgraduate,"Position yourself at the forefront of legal innovation, helping to shape the future of law in an increasingly digital world."
Bath Spa University,Dance,https://www.bathspa.ac.uk/courses/ug-dance/,Level: Undergraduate,Build the skills you need to become a creative and articulate dance professional.
Bath Spa University,Dance,https://www.bathspa.ac.uk/courses/pg-dance/,Level: Postgraduate,Join a community of artists on one of the UK's leading MA Dance courses.
Bath Spa University,Design,https://www.bathspa.ac.uk/courses/pg-design/,Level: Postgraduate,"Develop genuine skill, understanding and confidence, and take your Design practice to a professional level."
Bath Spa University,Design (Graphics),https://www.bathspa.ac.uk/courses/pg-design-graphics/,Level: Postgraduate,A practical Master’s in Graphic Design taught at our purpose-built Art and Design campus.
Bath Spa University,Design (Illustration),https://www.bathspa.ac.uk/courses/pg-design-illustration/,Level: Postgraduate,Create your signature visual language with our Master’s in Illustration.
Bath Spa University,Design (Textiles),https://www.bathspa.ac.uk/courses/pg-design-textiles/,Level: Postgraduate,Reach your creative and professional potential with our practical Master’s in Textile Design.
Bath Spa University,Design (Visual Communication),https://www.bathspa.ac.uk/courses/pg-design-visual-communication/,Level: Postgraduate,"A practical course for specialist photographers, designers and illustrators."
Bath Spa University,Directing Circus,https://www.bathspa.ac.uk/courses/pg-directing-circus/,Level: Postgraduate,"Become a new kind of performance director, using circus techniques in an artistic context."
Bath Spa University,Drama,https://www.bathspa.ac.uk/courses/ug-drama/,Level: Undergraduate,Discover your place in the world of Drama at Bath Spa University.
Bath Spa University,Drama (Musical Theatre),https://www.bathspa.ac.uk/courses/ug-drama-musical-theatre/,Level: Undergraduate,Pursue a career in Musical Theatre while enjoying the benefits of a more broadly based Drama degree.
Bath Spa University,Drama and English Literature,https://www.bathspa.ac.uk/courses/ug-drama-and-english-literature/,Level: Undergraduate,"Explore your creative identity in areas of practice such as play production, performing, writing and directing, and topics such as Shakespeare, musical theatre, physical theatre, applied theatre and media and performance."
Bath Spa University,Drama and Film and Screen Studies,https://www.bathspa.ac.uk/courses/ug-drama-and-film-and-screen-studies/,Level: Undergraduate,Combine your passion for drama with an exploration of films and the film industry with our Drama and Film and Screen Studies course.
Bath Spa University,Drama and Psychology,https://www.bathspa.ac.uk/courses/ug-drama-and-psychology/,Level: Undergraduate,"Develop a range of critical, creative and practical skills valued by a diverse range of careers with our Drama and Psychology degree."
Bath Spa University,Early Childhood Studies,https://www.bathspa.ac.uk/courses/ug-early-childhood-studies/,Level: Undergraduate,Interested in how young children learn and grow? Want to gain insight into their lived experiences? Explore issues in early childhood and gain practical experience of working with children and families.
Bath Spa University,Economics and Law,https://www.bathspa.ac.uk/courses/ug-economics-and-law/,Level: Undergraduate,Explore the economic and legal challenges facing the world today on this combined law and economics degree.
Bath Spa University,Education,https://www.bathspa.ac.uk/courses/ug-education/,Level: Undergraduate,Change lives through education on this BA Education degree.
Bath Spa University,Education (Early Childhood Studies),https://www.bathspa.ac.uk/courses/pg-education-early-childhood-studies/,Level: Postgraduate,"Study early childhood education in depth, drawing on ethical, cultural and social perspectives."
Bath Spa University,Education (Leadership and Management),https://www.bathspa.ac.uk/courses/pg-education-leadership-and-management/,Level: Postgraduate,"Designed for those who aspire to become, or are currently working as, a leader in an educational organisation in the UK or internationally."
Bath Spa University,Education [Accelerated],https://www.bathspa.ac.uk/courses/ug-education-accelerated/,Level: Undergraduate,Begin your education career after just two years of study with our accelerated degree.
Bath Spa University,Education and Drama,https://www.bathspa.ac.uk/courses/ug-education-and-drama/,Level: Undergraduate,"Pursue your passion for Drama while developing the knowledge, skills and experience you need to become an educator across diverse settings."
Bath Spa University,Education and English Literature,https://www.bathspa.ac.uk/courses/ug-education-and-english-literature/,Level: Undergraduate,"Pursue your passion for English Literature while developing the knowledge, skills and experience you need to become an educator across diverse settings."
Bath Spa University,Education and Geography,https://www.bathspa.ac.uk/courses/ug-education-and-geography/,Level: Undergraduate,"Pursue your passion for Geography while developing the knowledge, skills and experience you need to become an educator across diverse settings."
Bath Spa University,Education and History,https://www.bathspa.ac.uk/courses/ug-education-and-history/,Level: Undergraduate,"Pursue your passion for History while developing the knowledge, skills and experience you need to become an educator across diverse settings."
Bath Spa University,Educational Leadership (Teach First),https://www.bathspa.ac.uk/courses/pg-educational-leadership-teach-first/,Level: Postgraduate,Build on the leadership skills you gained in your Teach First training to earn a full Master’s degree.
Bath Spa University,Educational Psychology,https://www.bathspa.ac.uk/courses/ug-educational-psychology/,Level: Undergraduate,Immerse yourself in the science of learning with our Educational Psychology degree.
Bath Spa University,English Literature,https://www.bathspa.ac.uk/courses/ug-english-literature/,Level: Undergraduate,"Our innovative English Literature degree has been designed to help you develop practical and professional skills that you can apply to contemporary challenges, issues and debates."
Bath Spa University,English Literature and Media Communications,https://www.bathspa.ac.uk/courses/ug-english-literature-and-media-communications/,Level: Undergraduate,Develop specialist subject knowledge and explore ways to communicate to diverse audiences with our English Literature and Media Communications degree.
Bath Spa University,English Literature and Philosophy and Ethics,https://www.bathspa.ac.uk/courses/ug-english-literature-and-philosophy-and-ethics/,Level: Undergraduate,Explore different perspectives and gain valuable professional skills with our English Literature and Philosophy and Ethics degree.
Bath Spa University,English Literature and Publishing,https://www.bathspa.ac.uk/courses/ug-english-literature-and-publishing/,Level: Undergraduate,"Gain practical, specialist skills and learn to shape stories, information and ideas with our English Literature and Publishing degree."
Bath Spa University,Environmental Science,https://www.bathspa.ac.uk/courses/ug-environmental-science/,Level: Undergraduate,Gain biological and geographical perspectives of the environment with this hands-on course.
Bath Spa University,Fashion Design,https://www.bathspa.ac.uk/courses/ug-fashion-design/,Level: Undergraduate,"A fast-paced, dynamic and demanding course for determined and ambitious individuals who want a career in fashion."
Bath Spa University,Fashion Management,https://www.bathspa.ac.uk/courses/pg-fashion-management/,Level: Postgraduate,Change the fashion business from the inside with the leadership skills you'll gain on our Fashion Management degree.
Bath Spa University,Fashion Marketing and Management,https://www.bathspa.ac.uk/courses/ug-fashion-marketing-and-management/,Level: Undergraduate,A distinctive fashion marketing degree with an emphasis on core business skills and digital creativity.
Bath Spa University,Fashion Photography,https://www.bathspa.ac.uk/courses/ug-fashion-photography/,Level: Undergraduate,"Explore, challenge and define the role of the photographic image in fashion."
Bath Spa University,Film and Screen Studies,https://www.bathspa.ac.uk/courses/ug-film-and-screen-studies/,Level: Undergraduate,"Study film and screen alongside some aspects of digital media, with optional work in filmmaking and post production."
Bath Spa University,Film and Screen Studies and Media Communications,https://www.bathspa.ac.uk/courses/ug-film-and-screen-studies-media-communications/,Level: Undergraduate,"Explore your interests, engage in practical projects and gain employable skills in the creative and cultural industries with our Film and Media Communications degree."
Bath Spa University,"Film, Television and Digital Production",https://www.bathspa.ac.uk/courses/ug-film-tv-and-digital-production/,Level: Undergraduate,"A practice-based course which places film and TV in its historical, contemporary and theoretical context."
Bath Spa University,Fine Art,https://www.bathspa.ac.uk/courses/ug-fine-art/,Level: Undergraduate,"A studio-centred fine arts degree, encouraging independent enquiry and delivered by practising artists."
Bath Spa University,Fine Art,https://www.bathspa.ac.uk/courses/pg-fine-art/,Level: Postgraduate,A studio based course taught by practising artists and supported by excellent facilities.
Bath Spa University,Fine Art (Ceramics),https://www.bathspa.ac.uk/courses/pg-fine-art-ceramics/,Level: Postgraduate,"Our MA Ceramics pathway in Fine Art develops your skills and knowledge through a mix of material investigation, theory and research."
Bath Spa University,Fine Art (Curatorial Practice),https://www.bathspa.ac.uk/courses/pg-fine-art-curatorial-practice/,Level: Postgraduate,Study current practices and build your personal curatorial skills on our innovative Curatorial Practice Master’s.
Bath Spa University,Fine Art (Media),https://www.bathspa.ac.uk/courses/pg-fine-art-media/,Level: Postgraduate,Develop your potential as a media artist on this specialist MA course.
Bath Spa University,Fine Art (Painting),https://www.bathspa.ac.uk/courses/pg-fine-art-painting/,Level: Postgraduate,A studio based course taught by practising artists and supported by excellent facilities.
Bath Spa University,Fine Art (Photography),https://www.bathspa.ac.uk/courses/pg-fine-art-photography/,Level: Postgraduate,Study a range of approaches to photography and lens-based media in a fine art environment.
Bath Spa University,Food with Nutrition,https://www.bathspa.ac.uk/courses/ug-food-with-nutrition/,Level: Undergraduate,Equip yourself for employment with this dynamic course that fuses academic and vocational learning.
Bath Spa University,Forensic Psychology,https://www.bathspa.ac.uk/courses/ug-forensic-psychology/,Level: Undergraduate,Study a combination of accredited Psychology modules and tailored forensic topics on this Forensic Psychology degree.
Bath Spa University,Forensic Science,https://www.bathspa.ac.uk/courses/ug-forensic-science/,Level: Undergraduate,Learn how to use science to help solve crimes on this Forensic Science degree.
Bath Spa University,FWD,https://www.bathspa.ac.uk/courses/fwd/,Level: Short Course,"Take your career forward with FWD, a free, next generation skills, training, research and innovation programme."
Bath Spa University,Games Development,https://www.bathspa.ac.uk/courses/ug-games-development/,Level: Undergraduate,"Turn your love of games into a career in this hands-on, industry-focused course."
Bath Spa University,Geography,https://www.bathspa.ac.uk/courses/ug-geography/,Level: Undergraduate,Develop the knowledge and skills to understand our complex world with a degree in Geography.
Bath Spa University,Global Citizenship,https://www.bathspa.ac.uk/courses/intl-global-citizenship/,"Level: Integrated, Undergraduate","Gain an international, interdisciplinary perspective by studying Global Citizenship alongside your undergraduate course."
Bath Spa University,Global Development and Sustainability,https://www.bathspa.ac.uk/courses/ug-global-development-and-sustainability/,Level: Undergraduate,Explore contemporary global challenges and learn how to promote and implement sustainable development.
Bath Spa University,Graphic Design,https://www.bathspa.ac.uk/courses/ug-graphic-design/,Level: Undergraduate,"Interested in graphic design? This broad, practice based course encourages hands-on, ideas based, socially engaged design."
Bath Spa University,Health and Social Care Management (London),https://www.bathspa.ac.uk/courses/ug-health-social-care-management-london/,Level: Undergraduate,Our London-based Health and Social Care Management degree will give you the skills needed for efficient and effective delivery of services in the health and social care environment.
Bath Spa University,Health and Social Care Management with Integrated Foundation Year (London),https://www.bathspa.ac.uk/courses/ify-health-social-care-management-london/,"Level: Integrated, Foundation, Undergraduate",Our London based Health and Social Care Management degree with Integrated Foundation Year will develop your academic skills and prepare you for degree-level learning.
Bath Spa University,Heritage Management,https://www.bathspa.ac.uk/courses/pg-heritage-management/,Level: Postgraduate,Combine placements and projects with robust conceptual thinking through this dynamic MA course.
Bath Spa University,History,https://www.bathspa.ac.uk/courses/ug-history/,Level: Undergraduate,"Our innovative History degree has been designed to help you develop practical and professional skills that you can apply to contemporary challenges, issues and debates."
Bath Spa University,History and Philosophy and Ethics,https://www.bathspa.ac.uk/courses/ug-history-and-philosophy-and-ethics/,Level: Undergraduate,Develop practical skills as you apply your understanding of the past and your knowledge of philosophy to contemporary challenges.
Bath Spa University,History and Politics,https://www.bathspa.ac.uk/courses/ug-history-and-politics/,Level: Undergraduate,"Our innovative History with Politics degree has been designed to help you develop practical and professional skills that you can apply to contemporary challenges, issues and debates."
Bath Spa University,Human Nutrition,https://www.bathspa.ac.uk/courses/ug-human-nutrition/,Level: Undergraduate,"Explore the scientific principles behind human nutrition, food, health and disease."
Bath Spa University,Inclusive Education,https://www.bathspa.ac.uk/courses/pg-inclusive-education/,Level: Postgraduate,Become an expert in vulnerable learners and inclusion at a time of significant educational reform.
Bath Spa University,Integrated Foundation Year for Art and Design Courses,https://www.bathspa.ac.uk/courses/ify-art-and-design/,"Level: Integrated, Foundation, Undergraduate",Use our outstanding facilities and develop your Art and Design skills with an integrated Foundation year before you progress onto your chosen BA (Hons) degree.
